10184;Stockstadt, Obernburger Straße 82;SB;Obernburger Straße 82;"";63811;Stockstadt;49.9707;9.07077
10185;T SCHESSLITZ;T;BAMBERGER STR.;22;96110;SCHESSLITZ;49.97064;11.025344
10186;JET MAINZ HAIFA-ALLEE 1;JET;HAIFA-ALLEE 1;;55128;MAINZ;49.970139;8.228639
10187;Aral Tankstelle;ARAL;Würzburger Straße;59;63743;Aschaffenburg;49.96992;9.163068
10188;TOTAL BABENHAUSEN;TOTAL;BOUXWILLER STRASSE;1;64832;BABENHAUSEN;49.96977;8.949254
10189;Esso Tankstelle;ESSO;BOUXWILLERSTR. 1; ;64832;BABENHAUSEN;49.969769;8.949254
10190;JET ROEDERMARK ALBERT-EINSTEIN-STRASSE 28;JET;ALBERT-EINSTEIN-STRASSE 28;;63322;ROEDERMARK;49.9694866;8.81861014
10191;EGELSBACH, DARMSTAEDTER LAND.;Shell;DARMSTÄDTER LANDSTR. 11;"";63329;EGELSBACH;49.969397;8.675532
10192;OIL! Tankstelle Aschaffenburg;OIL!;Bardroffstr. 14;;63739;Aschaffenburg;49.9692;9.15033
10193;BINGEN, MAINZER STR. 234.;Shell;MAINZER STR. 234;"";55411;BINGEN KEMPTEN;49.968745;7.938014
10194;MAINZ, RHEINHESSENSTR. 13.;Shell;RHEINHESSENSTR. 13;"";55129;Mainz;49.9685;8.26994
10195;CLASSIC Rödermark-Urberach;CLASSIC;Traminer Str.;45;63322;Rödermark;49.9684;8.80161
10196;BINGEN, KOBLENZER STR.85.;Shell;KOBLENZER STR. 85;"";55411;BINGEN-BINGERBRÜCK;49.9682;7.88188
10197;ELO Breitengüßbach;freie Tankstelle;Bamberger Straße;47;96149;Breitengüßbach;49.967574;10.884993
10198;ROTH Station;ROTH-ENERGIE;Industriestraße;4;63811;Stockstadt;49.96756;9.07942
10199;Breitengüssbach Bamberger Strasse 54;OMV;Bamberger Str.;54;96149;Breitengüssbach;49.96695;10.88423
10200;Aral Tankstelle;ARAL;Obernburger Straße;127-13;63811;Stockstadt;49.9651947;9.075168
10201;Aral Tankstelle;ARAL;Rheinstraße;18;55435;Gau-Algesheim;49.9648743;8.017713
10202;CLASSIC Haibach/Unterfranken;CLASSIC;Würzburgerstr.;75;63808;Haibach;49.9648;9.19794
10203;Aschaffenburg Spessartstrasse 74;OMV;Spessartstr.;74;63743;Aschaffenburg;49.96477;9.15119
10204;STROMBERG / DAXWEILER A61;Shell;HUNSRUECK WEST A61;"";55442;STROMBERG / DAXWEILER;49.96457;7.76496
